address,category
0x85704b506e10b10d714ead28cde947baa58f0ea4,Phishing
0xa35e3534917e471540345733b8f23e7bad54681b,Phishing
0xa6b60dd3be491aafe5aba8622b35c0ead608d3fd,Phishing
0x6d8a1bc0ae09ae5cfd4a7a2a59194598734ceea5,Phishing
0xf3ae45d5a0b8efb41444101267b56e6795051fac,Phishing
0x8a46aa04725b2e2029bdcb924d671fd6a9c11dab,Phishing
0xda1cc010259496d407a764c381d0e82182d68d89,Phishing
0x42ff5fff0e369ef6880875efcacb3b7c77974abc,Phishing
0xeed7072fcf46733833249d1e979c44fe4f2a23a2,Phishing
0x7c57981af4cee87567774b53f9da1bfceb8b944b,Phishing
0xfbc79a80ffa84253611e8f9a82f18e9e93ceee81,Phishing
0x943db403251105195f56ce69c7c48a6320475ab1,Phishing
0xd754b5bf41b84bcb49cb952f858318640abc60e0,Phishing
0x902d0d5bb6a34307bbd1da33e61ae1654b6cbe1e,Phishing
0xf0fc2d4d550253d8c165c599e0cccf221c7eb7b5,Phishing
0x96ae446782c99e952f17626826c83bfdce53fae7,Phishing
0x52005b77fbebf53cfd9527a388f58d0431aaaa3e,Phishing
0x1e67f055367bcbce045e1211f09355eb7411236f,Phishing
0x316b3b83c33b20249b61ded124f2620d8e823793,Phishing
0x0ae775637e63fa95855246fd82e96802d05883fc,Phishing
0x71108be9c232722dd6839a6fbad171cf44d3ffaf,Phishing
0xa3e52a23060ccdfe186822b52bf60a07451e094e,Phishing
0xd50fcd07007255599a9a8cedd881f863bcd65eb1,Phishing
0x7f85d875eaf39525004e8ac2bc1e83786d7dfd77,Phishing
0x504f1e10da987490db4f0d92931497f635e240e8,Phishing
0x24c00035b050bec633287c2babfbb9f4fe3c8a83,Phishing
0x6e3e57e536aab05950774945d9cdbf506865c52f,Phishing
0x2804e8b4c04c655376d18ada84d46fc345240e0a,Phishing
0xa0d67bf1ae91b6b705abd4f695cc13edaacd0d02,Phishing
0xe54659243f8542d6abfd15bbff69f62465786756,Phishing
0x51dcd13361c5d921d2c4818e419011301e7be34e,Phishing
0x784205acd9423a2044d09e41642a71e087162861,Phishing
0xd912289c9f079b0655737a55fd5d745501ecefc7,Phishing
0x1494403137159bb0dc545d11963fdf797ea1ecab,Phishing
0x43ac6aae3c5dd21855c3aabe3cadb7dfdcf2e5be,Phishing
0x738a4daae8d4a640172fac4f45b41707bd2197be,Phishing
0xea6e18fd3c301e4300bc99b6db792fcff376abb4,Phishing
0xc31fb4c352cb68c847715d46d97c1fa2aa2d0f00,Phishing
0x1447b1cb205158d98fdbd312b37ed9dd1481fb62,Phishing
0x25ce2252a80c1c4fdf12fd9c608858c23b3094ef,Phishing
0x55456cbd1f11298b80a53c896f4b1dc9bc16c731,Phishing
0x57dcf20135b0cb9d167e8ebfe13b84bfd67645ed,Phishing
0xa2a3a8e4a1877da1c913df7591ac0d72f27d4510,Phishing
0x1cea7999fdafe5d156952ebf1816e8aa67a5485e,Phishing
0xab1c30cd2d9964b3b845ef744e2e4043739430e5,Phishing
0x9d0b8447f16d6bc1de2b52d63e9c487bd778a91d,Phishing
0xeb8b629df028f5353649460f1c06bf394de8641f,Phishing
0xa5797ea738abf85db7b3f2e04a4a40a5180044a8,Phishing
0xfcdd417b449c982fc9b6d7b117e417682e81b627,Phishing
0x72a66bba491f0c696c4c4e3154d07b241d371944,Phishing
0xeaceb8e777dc8b1c11b8730904d13fbda070846f,Phishing
0x0a78fa6dab70385dd46fbdd20da5d868eb43f904,Phishing
0xeed48722238b98317d849fa591d96b7efbe9b06f,Phishing
0x0d502f90c0a740b9c069ddec1c436d483ed7ab8e,Phishing
0xb37722e14fcfc78a56312a9a746c5474822002f2,Phishing
0x0387cfc283ffcf25a4a6a61e832545bbeb7c8fda,Phishing
0xa7a020ae798a0a026c57ed6cbe48b21d3dbbec5b,Phishing
0x8c9d299cc3c2111499416cf4e3677328486cfac2,Phishing
0x4c191dca6cecfa1e55caa3cf178eea52728b13e7,Phishing
0x514e9ca5406f112aba902b0cba87395b914d861e,Phishing
0x2da8703d18afed53b303119e4ff06cf035a9fadb,Phishing
0x660d30d1fbafdc88a1951370cbe2b3094dbf224b,Phishing
0x2bcc8aefa2fc9d8e52dad098778bb0a8d08a4aa3,Phishing
0x7f2b4801c338a7b3cc322bfaf151afea8708e8e0,Phishing
0xdbe6dba965afc52f5b3d51e4b15e372f45d4106a,Phishing
0x9441a81fb67f44ce7b31c311317e136e7067f8ca,Phishing
0xf855fee50a8915634a105385cb6cb9e442d15457,Phishing
0xdaa29859836d97c810c7f9d350d4a1b3e8cafc9a,Phishing
0xfe68de56a07cd3af0ec40c22b0193115ecdd0501,Phishing
0xe10270bfb1ed82e120bfc392efb3c94a1604ded6,Phishing
0x8444173280e5fdc0525494638123b014cffcc521,Scamming
0xec2d5cc008ba6d2237d33ca9cf74b684737fcae8,Phishing
0xac82537fae701b2046f62bb718c4857787b0b647,Phishing
0xf962933e44b1dfc771738a034c80d87bdcd96ecc,Phishing
0xc94a6e7776bade5da316cf6fd8c751fb0d5c3c5e,Phishing
0x58a166f9a6ff996e2349eea90d42cc198529a037,Phishing
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,Phishing
0xfa1f0b67b9b48b2e87467d72f09722e19ed601bd,Phishing
0x119240ef17333e8dcb19a0dd4f5fc848981b0ff4,Phishing
0x0310c4385311d225cbcaca26fefc9ab45d3eba3e,Phishing
0x6af114154a8850b1c54d48bd9103bdcdb420611b,Phishing
0x0b7f284d74f549731499c44aed2a10adcc9e9cc0,Phishing
0xf33068d5e798f6519349ce32669d1ec940db1193,Scamming
0xb2ac8e363ea34201df532a01522a006fcaa389ee,Phishing
0x02673ebfbfaed5891f6b14248b0e2753a8758fbf,Phishing
0xb37da5c9179345341fe50d37cfc961ba47c01f9a,Phishing
0x5d1bcbde56db05bead0ff7c87c9dc85baf98ab32,Phishing
0xc1dd8ac971129c8c08333924f58ff40a50b8bb9a,Scamming
0xb23fb6cc17026d1ce9cd543cb69a023569503e4c,Phishing
0x91619a3456fdbac90bd93f51f2917981f0ed3097,Scamming
0xf4c87c851d772b0f9e72cca0690327f2bc505015,Scamming
0xc0fed35b43f59c2bfb1eb544bd8921bfb18140c2,Scamming
0xc169a0e826f22fc7d37a48aaa346ffb4521c35cd,Phishing
0xac3800002e45ed2e1a55dedfa2aca137f6dba61e,Phishing
0x1c39d6e0278d1a28ce21dbd73826559b010224e5,Phishing
0xb2a3fcf38979898e695c88947e3373bf1c2e9b37,Phishing
0x33bf8bde242216da572d6486d641ae0a18137306,Phishing
0x0ef2724a6d8be9f72f3d35b62e1e8a37ceaf721e,Phishing
0xf747726200c7fc14ef4ce267b1f070128c2260dd,Phishing
0x0c8b0b3e963becf16cda410fe1eb4b5d64022c94,Phishing
0xce686d019e6f692af646a8df3bfe789da97a484f,Phishing
0x6d64486a5c99139b53239297e0b653d196d05777,Phishing
0xcc66ea7ef61a67df02afb18706c68a5f30b22300,Phishing
0x2789b7b3557f39643198433daebf6b43512be65b,Phishing
0xb9cfb36060785f6800b1ab9ccc9b4f341d097399,Phishing
0x75dbe6e21e38a05a82ad64281a9e28a627619273,Phishing
0x93574d7c405717d80520944ee1cb72d327b01df5,Phishing
0xd5edb088b7382b397238f5010d14cf10dd395007,Phishing
0xac513396ee50091972ee6fc07d120b6ad360b233,Phishing
0x94d55b6f8b53903026399ab45294140eafbfbf44,Phishing
0x8202b590eca4662446102b3a97e3536aac8ab941,Phishing
0x26f7eb488661c33c43089ad61944f3231222b32f,Phishing
0xf394d807795ff57373f1fe903046596cb0f69acc,Phishing
0xcae77a05ab518492144944fb50572ebfa3595870,Phishing
0xbbdef8b12babd3ab6018566bc17ec3aa302b8348,Phishing
0xd362c189cb0056159d2fe22bd8203e26579f620d,Phishing
0x6122ee683dbee50fd432fe5bdd8ac055aa3d42b1,Phishing
0xdf3e77cd5e563f93fc7eca905d3302e95f9bb150,Phishing
0xd9d25dce4c3765855c76f3d2baccc0755c4d0bc5,Phishing
0x9b521529d04329c2b0a9f9b7db18ed775c6ca8fc,Phishing
0x545f5e5c54d8ac72af1c7de8c070387b73841a24,Phishing
0xe0b13c073e8173b06062c69a160ebb54e2af86c3,Phishing
0x88436c2a2f427f2aa641dfd8c6763facf2bad7bf,Phishing
0xb76a4770587f76d6c644deec275a2c76069b5f14,Phishing
0x0d9786138578fcdcce04435592545ef08422d755,Phishing
0xbb53be0690ae7256833099a1f01125eb33445692,Phishing
0xbe11d0d38ef4857224032afc9c96647492f726ce,Phishing
0xd0ac32ab01d9d3ec145ef63f73bf4e222dbcc0fb,Phishing
0xdafc2a2d4e070f863cfcb5887bc2516e05e18877,Phishing
0xac1a4f4d49715e31f54cb8e0bf867bb9170c10cb,Phishing
0x08986f5cecd3cb8882e4a34a16961e3124377291,Phishing
0x8b1b4f3a25444005ecd37f7b0c12bc5078c13443,Phishing
0x5d82db63cf0c54d47006d416bdc7dab09ea2f3f1,Scamming
0xa82c7c0ef05080463e4ac55db8b8531007f3a66c,Scamming
0xdcd2fb1c1b103c5a591e76798704cfaa27baf6b9,Scamming
0x5efb7d2ab258b18c8166b0c74fc4117716e52515,Scamming
0x414bca672494b8f078112c52ae258f9e8de1a4a0,Scamming
0x3dfe9f7af8864df0b7cc2a20430006fd1af8da1a,Scamming
0x5b6d3d66e18dfd31ed9a753c406963c401f356c0,Scamming
0xc8c3234aea55a5f746b2ae585a849ba0bfa57785,Scamming
0x774148e22f021972bfe082e1548e5d9dc6e1d76e,Scamming
0xeecc46a74cea6133a12672bd62d5167877b4d521,Scamming
0xe5b913f91f2b90c5cd04d711e1eb3214c56dba98,Scamming
0xd9cd7461f960e56364a294f124aac77b25e2b784,Phishing
0xf5c86c5ba5291da78a2b4119dd7aef99e3508362,Phishing
0xb2172027cb233198a3945a2c864f1ec5b7e3b3da,Phishing
0x94763846b1fcb75fccfcb51a9636ddc26af281b1,Phishing
0x7bb386c33486fe345168d0af94bef03897e16022,Scamming
0x25f8b4acd2c37d7ebae0066fdf9f13f327c0c4eb,Phishing
0x3cf71871d2f56a6af21bf17ca2652cbc12e8ba1f,Phishing
0x94b40ecc7b38f5a9316b03dac4fc663e4d10cd15,Phishing
0xd1bdd067f5f1cbd358e2dde444f8d9f41de8ae76,Phishing
0xfa956f10da5e16f120eb299df963c1f7563bf66b,Phishing
0x9eb041af96d44583110565abec79aedf22eb60b5,Phishing
0xc9a08162b95915edf6570f0439757e1f655de576,Phishing
0x7eb28833082eb28fd423ab30df20afde98c47dbf,Phishing
0x636e5292882e2342aaf82d651322aea09a3e5392,Phishing
0xe276c66af8853cdd91c1a25608b4e8b599f4da0e,Phishing
0xe350160e3c8a07e92ec58ddcb8df81a73aedc6f9,Phishing
0xf021428381172ef96988b31f241f4000259488f7,Phishing
0xdefb014b9e2f3bd81cdb084821f99b681cfca695,Phishing
0x74104e8c7f546c7398d198f6678310ce9d1b8814,Phishing
0x4c569022016eba68ea10dee702670dc82d2749af,Phishing
0x16b9c4333559256ca7d87b28c6fb2e8415b4711f,Phishing
0x89e5124b5162a0ceec512e8ba97cd5e6f065fd13,Phishing
0x9e009c57b36ac7e3382697b4c9d3e7092a1cdb42,Phishing
0x0af16719353eddc122eaf834638406c499197860,Phishing
0x602026bd56bf9ca9d86926669e4353035aca2a88,Phishing
0x629b2aa7fdda8f7527d6f8ea742c1d5774e567ea,Phishing
0x4bde78ead56a30055d33bf84f52e420b0f6070ba,Phishing
0x76c88cd1ec2442c4f929b0f87280be006d7ba725,Phishing
0x169b6c7ed548e45ba9d87b2d32ff27e2d00051ef,Phishing
0xe41031233301370491d47477e1171dab212d5352,Phishing
0x9546748f47a77408dfbff0dc22505b2e9a75fda4,Phishing
0x9cdfc5b0aca4527a0916412e9dbd6ad85556a494,Phishing
0x8a6fcf189437928a6a07f6899b675d11f3d3f778,Phishing
0xb0dba64e6a353a74cc78e8a98914c4dff517ba7d,Phishing
0xccdf72de615b5158bb37931bbce645aa69221520,Phishing
